client,Lobbyist,Quarterly return period
CACI Limited,Inline Policy Limited,October to December 2017
Carbon Tracker Initiative,Inline Policy Limited,July to September 2015
Carbon Tracker Initiative,Inline Policy Limited,October to December 2015
Climate Markets & Investment Association,Inline Policy Limited,October to December 2015
DJI,Inline Policy Limited,April to June 2017
DJI,Inline Policy Limited,January to March 2017
DJI,Inline Policy Limited,July to September 2017
DJI,Inline Policy Limited,July to September 2018
UK Short Term Accommodation Association,Inline Policy Limited,January to March 2018
Zego (Extracover Ltd),Inline Policy Limited,January to March 2018
Autogas Limited,Instinctif Partners Holdings Limited,April to June 2015
Autogas Limited,Instinctif Partners Holdings Limited,April to June 2016
Autogas Limited,Instinctif Partners Holdings Limited,April to June 2017
Autogas Limited,Instinctif Partners Holdings Limited,January to March 2016
Autogas Limited,Instinctif Partners Holdings Limited,January to March 2017
Autogas Limited,Instinctif Partners Holdings Limited,July to September 2015
Autogas Limited,Instinctif Partners Holdings Limited,July to September 2016
Autogas Limited,Instinctif Partners Holdings Limited,October to December 2015
Autogas Limited,Instinctif Partners Holdings Limited,October to December 2016
Autogas Limited,Instinctif Partners Holdings Limited,October to December 2017
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,April to June 2018
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,January to March 2015
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,January to March 2017
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,January to March 2018
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,July to September 2016
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,July to September 2018
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,October to December 2015
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,October to December 2016
British Generic Manufacturers Association,Instinctif Partners Holdings Limited,October to December 2017
Building Engineering Services Association,Instinctif Partners Holdings Limited,January to March 2018
Building Engineering Services Association,Instinctif Partners Holdings Limited,October to December 2017
Canal & River Trust,Instinctif Partners Holdings Limited,April to June 2017
CEE R. Schisler,Instinctif Partners Holdings Limited,July to September 2018
CEE R. Schisler,Instinctif Partners Holdings Limited,October to December 2017
Cemex UK Materials Limited,Instinctif Partners Holdings Limited,April to June 2016
Cemex UK Materials Limited,Instinctif Partners Holdings Limited,January to March 2017
Cemex UK Materials Limited,Instinctif Partners Holdings Limited,July to September 2015
Certsure LLP,Instinctif Partners Holdings Limited,January to March 2015
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,April to June 2016
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,April to June 2017
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,July to September 2016
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,July to September 2017
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,July to September 2018
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,October to December 2016
Coventry City of Culture Trust,Instinctif Partners Holdings Limited,October to December 2017
Crossflow Payments Solutions Trading Limited,Instinctif Partners Holdings Limited,April to June 2017
Crossflow Payments Solutions Trading Limited,Instinctif Partners Holdings Limited,January to March 2017
Dart Products Europe Limited,Instinctif Partners Holdings Limited,July to September 2018
Dart Products Europe Limited,Instinctif Partners Holdings Limited,October to December 2017
Electrical Contractors' Association,Instinctif Partners Holdings Limited,April to June 2017
Electrical Contractors' Association,Instinctif Partners Holdings Limited,January to March 2017
Electrical Contractors' Association,Instinctif Partners Holdings Limited,January to March 2018
Electrical Contractors' Association,Instinctif Partners Holdings Limited,October to December 2017
F Bender Limited,Instinctif Partners Holdings Limited,July to September 2018
F Bender Limited,Instinctif Partners Holdings Limited,October to December 2017
GLI Finance Limited,Instinctif Partners Holdings Limited,October to December 2015
GLI Finance Limited,Instinctif Partners Holdings Limited,October to December 2016
Graphic Packaging International Foodservice Europe Limited,Instinctif Partners Holdings Limited,July to September 2018
Graphic Packaging International Foodservice Europe Limited,Instinctif Partners Holdings Limited,October to December 2017
HealthCIC Services Limited,Instinctif Partners Holdings Limited,October to December 2017
Huhtamaki UK Limited,Instinctif Partners Holdings Limited,July to September 2018
Huhtamaki UK Limited,Instinctif Partners Holdings Limited,October to December 2017
Medac S.r.l.,Instinctif Partners Holdings Limited,July to September 2018
Medac S.r.l.,Instinctif Partners Holdings Limited,October to December 2017
Moody's Investors Service Limited,Instinctif Partners Holdings Limited,July to September 2016
Nanoco Group plc,Instinctif Partners Holdings Limited,July to September 2015
Nanoco Group plc,Instinctif Partners Holdings Limited,October to December 2015
NCC Skills Ltd,Instinctif Partners Holdings Limited,April to June 2016
Ofo UK Limited,Instinctif Partners Holdings Limited,April to June 2017
Ofo UK Limited,Instinctif Partners Holdings Limited,July to September 2017
Ofo UK Limited,Instinctif Partners Holdings Limited,October to December 2017
Pocket Living Limited,Instinctif Partners Holdings Limited,July to September 2017
Quadram Institute,Instinctif Partners Holdings Limited,April to June 2018
Rigby Group plc,Instinctif Partners Holdings Limited,October to December 2017
Seda UK Limited,Instinctif Partners Holdings Limited,July to September 2018
Seda UK Limited,Instinctif Partners Holdings Limited,October to December 2017
Slater & Gordon,Instinctif Partners Holdings Limited,January to March 2015
SNCF,Instinctif Partners Holdings Limited,April to June 2018
SNCF,Instinctif Partners Holdings Limited,January to March 2016
Stora Enso Oyj,Instinctif Partners Holdings Limited,July to September 2018
Stora Enso Oyj,Instinctif Partners Holdings Limited,October to December 2017
Water Industry Commission for Scotland,Instinctif Partners Holdings Limited,January to March 2015
WHSmith plc,Instinctif Partners Holdings Limited,April to June 2018
WHSmith plc,Instinctif Partners Holdings Limited,July to September 2016
World First UK Limited,Instinctif Partners Holdings Limited,January to March 2017
World First UK Limited,Instinctif Partners Holdings Limited,October to December 2016
Zeal Network SE (and its subsidiary MyLotto24 Limited),Instinctif Partners Holdings Limited,January to March 2016
Zeal Network SE (and its subsidiary MyLotto24 Limited),Instinctif Partners Holdings Limited,January to March 2017
Zeal Network SE (and its subsidiary MyLotto24 Limited),Instinctif Partners Holdings Limited,October to December 2017
Alibaba Group,Interel Consulting UK Ltd,January to March 2018
Alibaba Group,Interel Consulting UK Ltd,October to December 2017
All-Party Parliamentary Group on Fixed Odds Betting Terminals,Interel Consulting UK Ltd,April to June 2017
All-Party Parliamentary Group on Fixed Odds Betting Terminals,Interel Consulting UK Ltd,January to March 2017
Amey OW Ltd,Interel Consulting UK Ltd,April to June 2015
Amey OW Ltd,Interel Consulting UK Ltd,January to March 2015
Amey OW Ltd,Interel Consulting UK Ltd,January to March 2017
Amey OW Ltd,Interel Consulting UK Ltd,July to September 2015
Amey OW Ltd,Interel Consulting UK Ltd,October to December 2016
Arco,Interel Consulting UK Ltd,January to March 2016
Arco,Interel Consulting UK Ltd,July to September 2015
Arco,Interel Consulting UK Ltd,July to September 2016
Babcock Mission Critical,Interel Consulting UK Ltd,October to December 2015
BACTA Limited,Interel Consulting UK Ltd,January to March 2017
BACTA Limited,Interel Consulting UK Ltd,October to December 2016
Balfour Beatty,Interel Consulting UK Ltd,January to March 2018
Balfour Beatty,Interel Consulting UK Ltd,October to December 2017
Berendsen Plc,Interel Consulting UK Ltd,October to December 2016
"Berwin, Leighton, Paisner",Interel Consulting UK Ltd,April to June 2015
"Berwin, Leighton, Paisner",Interel Consulting UK Ltd,July to September 2015
British Amusement Catering Trade Association working in support of the Fixed odds betting terminals APPG,Interel Consulting UK Ltd,April to June 2016
British Art Market Federation,Interel Consulting UK Ltd,January to March 2017
"British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,April to June 2016
"British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,January to March 2015
"British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,January to March 2016
"British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,January to March 2018
"British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,October to December 2015
Campaign for Fairer Gambling working in support of the Fixed odds betting terminals APPG,Interel Consulting UK Ltd,April to June 2016
ChargePoint,Interel Consulting UK Ltd,April to June 2018
East Coast Main Line Authorities Consortium,Interel Consulting UK Ltd,July to September 2016
East Coast Main Line Authorities Consortium,Interel Consulting UK Ltd,October to December 2016
Eaton,Interel Consulting UK Ltd,April to June 2018
Eaton,Interel Consulting UK Ltd,October to December 2017
Eurovia Group,Interel Consulting UK Ltd,April to June 2015
Eurovia Group,Interel Consulting UK Ltd,January to March 2015
Eurovia Group,Interel Consulting UK Ltd,January to March 2017
Eurovia Group,Interel Consulting UK Ltd,July to September 2015
Eurovia Group,Interel Consulting UK Ltd,October to December 2016
Expedia,Interel Consulting UK Ltd,April to June 2016
Expedia,Interel Consulting UK Ltd,January to March 2016
Expedia,Interel Consulting UK Ltd,July to September 2016
Expedia,Interel Consulting UK Ltd,July to September 2018
Expedia,Interel Consulting UK Ltd,October to December 2015
Expedia,Interel Consulting UK Ltd,October to December 2017
Federation of Wholesale Distributors,Interel Consulting UK Ltd,April to June 2017
Federation of Wholesale Distributors,Interel Consulting UK Ltd,January to March 2016
Federation of Wholesale Distributors,Interel Consulting UK Ltd,January to March 2017
Federation of Wholesale Distributors,Interel Consulting UK Ltd,October to December 2016
"Genting UK, Les Ambassadeurs Club Ltd, Sutton Bingo, Clockfair Ltd, Club 2000, The Palaces, CLMS, BALPPA, Electrocoin, Praesepe, JD Wetherspoon, LM Consultants Ltd , Hippodrome Casino, Campaign for Fairer Gambling, BACTA, Family Leisure - APPG",Interel Consulting UK Ltd,April to June 2017
Hippodrome Casino,Interel Consulting UK Ltd,April to June 2016
Hippodrome Casino,Interel Consulting UK Ltd,January to March 2016
Hippodrome Casino,Interel Consulting UK Ltd,October to December 2015
HomeAway,Interel Consulting UK Ltd,January to March 2017
LM Consultants,Interel Consulting UK Ltd,April to June 2015
LM Consultants,Interel Consulting UK Ltd,April to June 2016
LM Consultants,Interel Consulting UK Ltd,January to March 2016
LM Consultants,Interel Consulting UK Ltd,October to December 2015
Nissan,Interel Consulting UK Ltd,April to June 2015
Nissan,Interel Consulting UK Ltd,April to June 2016
Nissan,Interel Consulting UK Ltd,January to March 2015
Nissan,Interel Consulting UK Ltd,January to March 2016
Novomatic working in support of the Fixed odds betting terminals APPG,Interel Consulting UK Ltd,April to June 2016
Oikos Storage,Interel Consulting UK Ltd,July to September 2016
Project Management Institute,Interel Consulting UK Ltd,April to June 2015
Project Management Institute,Interel Consulting UK Ltd,April to June 2017
Project Management Institute,Interel Consulting UK Ltd,January to March 2017
Project Management Institute,Interel Consulting UK Ltd,July to September 2016
Project Management Institute,Interel Consulting UK Ltd,July to September 2017
Project Management Institute,Interel Consulting UK Ltd,October to December 2015
Project Management Institute,Interel Consulting UK Ltd,October to December 2016
Project Management Institute,Interel Consulting UK Ltd,October to December 2017
QinetiQ,Interel Consulting UK Ltd,January to March 2016
SABMiller,Interel Consulting UK Ltd,January to March 2016
Siemens,Interel Consulting UK Ltd,October to December 2015
Siemens Rail Automation,Interel Consulting UK Ltd,July to September 2017
Skanska UK,Interel Consulting UK Ltd,April to June 2015
Skanska UK,Interel Consulting UK Ltd,January to March 2015
St John Ambulance,Interel Consulting UK Ltd,April to June 2015
St John Ambulance,Interel Consulting UK Ltd,January to March 2017
St John Ambulance,Interel Consulting UK Ltd,July to September 2015
The All Party Parliamentary Group on Fixed Odds Betting Terminals,Interel Consulting UK Ltd,April to June 2018
The All Party Parliamentary Group on Fixed Odds Betting Terminals,Interel Consulting UK Ltd,January to March 2018
The All Party Parliamentary Group on Fixed Odds Betting Terminals,Interel Consulting UK Ltd,July to September 2018
"The British Association of Leisure Parks, Piers and Attractions",Interel Consulting UK Ltd,January to March 2017
The Road Ahead Group,Interel Consulting UK Ltd,January to March 2017
The Road Ahead Group,Interel Consulting UK Ltd,October to December 2016
Vinci,Interel Consulting UK Ltd,April to June 2015
Vinci,Interel Consulting UK Ltd,January to March 2015
Vinci,Interel Consulting UK Ltd,July to September 2015
Vinci Concessions UK,Interel Consulting UK Ltd,January to March 2017
Vinci Concessions UK,Interel Consulting UK Ltd,October to December 2016
Wise,Interel Consulting UK Ltd,July to September 2015
Actual Analytics,Invicta Public Affairs (Group) Ltd,January to March 2017
Burcote Wind,Invicta Public Affairs (Group) Ltd,January to March 2017
Burcote Wind,Invicta Public Affairs (Group) Ltd,October to December 2017
EDP Renewables,Invicta Public Affairs (Group) Ltd,April to June 2017
EDP Renewables,Invicta Public Affairs (Group) Ltd,January to March 2017
Emergya Wind Technologies Direct Wind,Invicta Public Affairs (Group) Ltd,April to June 2017
Emergya Wind Technologies Direct Wind,Invicta Public Affairs (Group) Ltd,January to March 2017
Emergya Wind Technologies Direct Wind,Invicta Public Affairs (Group) Ltd,July to September 2017
Emergya Wind Technologies Direct Wind,Invicta Public Affairs (Group) Ltd,October to December 2016
Emergya Wind Technologies Direct Wind,Invicta Public Affairs (Group) Ltd,October to December 2017
ERG,Invicta Public Affairs (Group) Ltd,January to March 2018
ERG,Invicta Public Affairs (Group) Ltd,July to September 2017
ERG,Invicta Public Affairs (Group) Ltd,October to December 2017
Falck Renewables,Invicta Public Affairs (Group) Ltd,January to March 2017
Falck Renewables,Invicta Public Affairs (Group) Ltd,July to September 2017
Gamesa Renewable Energy,Invicta Public Affairs (Group) Ltd,January to March 2017
Heathrow Airport Limited,Invicta Public Affairs (Group) Ltd,October to December 2016
Kilmac,Invicta Public Affairs (Group) Ltd,July to September 2016
Kilmac Construction Limited,Invicta Public Affairs (Group) Ltd,October to December 2016
Kilmac Energy,Invicta Public Affairs (Group) Ltd,April to June 2016
Manchester Airport Group,Invicta Public Affairs (Group) Ltd,April to June 2017
Newcastle International Airport,Invicta Public Affairs (Group) Ltd,October to December 2016
Nissan UK,Invicta Public Affairs (Group) Ltd,October to December 2016
Njord Energy Limited,Invicta Public Affairs (Group) Ltd,October to December 2016
North East Combined Authority,Invicta Public Affairs (Group) Ltd,October to December 2016
Seneca Energy,Invicta Public Affairs (Group) Ltd,July to September 2015
SIEMENS Gamesa Renewable Energy,Invicta Public Affairs (Group) Ltd,April to June 2017
Stansted Airport Limited,Invicta Public Affairs (Group) Ltd,October to December 2016
Wood Panel Industries Federation,Invicta Public Affairs (Group) Ltd,April to June 2018
Wood Panel Industries Federation,Invicta Public Affairs (Group) Ltd,January to March 2018
Braintree,JBP Associates Ltd,July to September 2018
Bristol Music Trust,JBP Associates Ltd,April to June 2018
Bristol Music Trust,JBP Associates Ltd,January to March 2016
Bristol Music Trust,JBP Associates Ltd,January to March 2017
Bristol Music Trust,JBP Associates Ltd,January to March 2018
Bristol Music Trust,JBP Associates Ltd,July to September 2016
Bristol Music Trust,JBP Associates Ltd,July to September 2017
Bristol Music Trust,JBP Associates Ltd,July to September 2018
Bristol Music Trust,JBP Associates Ltd,October to December 2016
Bristol Music Trust,JBP Associates Ltd,October to December 2017
Empower: Data 4 Health,JBP Associates Ltd,January to March 2016
Enterprise Holdings,JBP Associates Ltd,July to September 2018
Graebel,JBP Associates Ltd,April to June 2018
Graebel,JBP Associates Ltd,January to March 2018
HMS President Trust,JBP Associates Ltd,April to June 2018
Institution of Mechanical Engineers,JBP Associates Ltd,April to June 2016
Institution of Mechanical Engineers,JBP Associates Ltd,January to March 2016
Institution of Mechanical Engineers,JBP Associates Ltd,January to March 2018
Institution of Mechanical Engineers,JBP Associates Ltd,July to September 2017
Institution of Mechanical Engineers,JBP Associates Ltd,October to December 2016
Institution of Mechanical Engineers,JBP Associates Ltd,October to December 2017
LeoCoin,JBP Associates Ltd,January to March 2018
LeoCoin,JBP Associates Ltd,October to December 2017
Producers Alliance for Cinema and Television,JBP Associates Ltd,October to December 2016
Quintain,JBP Associates Ltd,January to March 2017
Quintain,JBP Associates Ltd,July to September 2016
Quintain,JBP Associates Ltd,October to December 2016
UK Vaping Industry Association,JBP Associates Ltd,April to June 2018
UK Vaping Industry Association,JBP Associates Ltd,January to March 2018
UK Vaping Industry Association,JBP Associates Ltd,July to September 2017
UK Vaping Industry Association,JBP Associates Ltd,July to September 2018
UK Vaping Industry Association,JBP Associates Ltd,October to December 2017
ACCA,Jericho Chambers LLP,January to March 2018
Building Research Establishment,Jericho Chambers LLP,April to June 2018
Building Research Establishment,Jericho Chambers LLP,January to March 2018
Building Research Establishment,Jericho Chambers LLP,July to September 2018
Capital & Counties Properties PLC,Jericho Chambers LLP,April to June 2016
Capital & Counties Properties PLC,Jericho Chambers LLP,April to June 2017
Capital & Counties Properties PLC,Jericho Chambers LLP,April to June 2018
Capital & Counties Properties PLC,Jericho Chambers LLP,January to March 2017
Capital & Counties Properties PLC,Jericho Chambers LLP,January to March 2018
Capital & Counties Properties PLC,Jericho Chambers LLP,July to September 2016
Capital & Counties Properties PLC,Jericho Chambers LLP,July to September 2017
Capital & Counties Properties PLC,Jericho Chambers LLP,October to December 2015
Capital & Counties Properties PLC,Jericho Chambers LLP,October to December 2016
Capital & Counties Properties PLC,Jericho Chambers LLP,October to December 2017
Chartered Institute of Personnel & Deelopment (CIPD),Jericho Chambers LLP,April to June 2018
Chartered Institute of Personnel & Development (CIPD),Jericho Chambers LLP,January to March 2018
Chartered Institute of Personnel & Development (CIPD),Jericho Chambers LLP,July to September 2018
Chartered Institute of Personnel & Development (CIPD),Jericho Chambers LLP,October to December 2017
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,April to June 2016
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,April to June 2017
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,January to March 2017
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,July to September 2016
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,July to September 2017
Chartered Institute of Personnel Development (CIPD),Jericho Chambers LLP,October to December 2016
Go-Ahead Group P:C,Jericho Chambers LLP,April to June 2018
Go-Ahead Group PLC,Jericho Chambers LLP,January to March 2018
Go-Ahead Group PLC,Jericho Chambers LLP,July to September 2018
Go-Ahead Group PLC,Jericho Chambers LLP,October to December 2017
Grant Thornton,Jericho Chambers LLP,April to June 2018
Grant Thornton,Jericho Chambers LLP,July to September 2018
ICAEW,Jericho Chambers LLP,April to June 2018
Institute of Chartered Accountants of England & Wales,Jericho Chambers LLP,January to March 2018
Institute of Chartered Accountants of England & Wales,Jericho Chambers LLP,July to September 2018
KPMG,Jericho Chambers LLP,April to June 2016
KPMG,Jericho Chambers LLP,April to June 2017
KPMG,Jericho Chambers LLP,January to March 2016
KPMG,Jericho Chambers LLP,January to March 2017
KPMG,Jericho Chambers LLP,July to September 2016
KPMG,Jericho Chambers LLP,October to December 2015
KPMG,Jericho Chambers LLP,October to December 2016
KPMG in the UK,Jericho Chambers LLP,July to September 2018
KPMG International,Jericho Chambers LLP,April to June 2017
KPMG International,Jericho Chambers LLP,April to June 2018
KPMG International,Jericho Chambers LLP,January to March 2018
KPMG International,Jericho Chambers LLP,July to September 2017
KPMG International,Jericho Chambers LLP,July to September 2018
KPMG International,Jericho Chambers LLP,October to December 2017
KPMG UK,Jericho Chambers LLP,January to March 2018
Nominet,Jericho Chambers LLP,April to June 2017
Nominet,Jericho Chambers LLP,April to June 2018
Nominet,Jericho Chambers LLP,January to March 2017
Nominet,Jericho Chambers LLP,January to March 2018
Nominet,Jericho Chambers LLP,July to September 2017
Nominet,Jericho Chambers LLP,July to September 2018
Nominet,Jericho Chambers LLP,October to December 2017
Royal Institution of Chartered Surveyors (RICS),Jericho Chambers LLP,April to June 2017
Royal Institution of Chartered Surveyors (RICS),Jericho Chambers LLP,January to March 2017
Royal Institution of Chartered Surveyors (RICS),Jericho Chambers LLP,July to September 2016
Royal Institution of Chartered Surveyors (RICS),Jericho Chambers LLP,July to September 2017
Royal Institution of Chartered Surveyors (RICS),Jericho Chambers LLP,October to December 2016
Stifel,Jericho Chambers LLP,April to June 2018
Stifel Europe,Jericho Chambers LLP,January to March 2018
Stifel Europe,Jericho Chambers LLP,July to September 2018
bira,Keystone Consulting,July to September 2018
NFRN,Keystone Consulting,July to September 2018
Coleman Bennett International Consultancy Plc,KPMG LLP,January to March 2016
Heathrow Southern Railway Limited,KPMG LLP,October to December 2017
Ffrees,Kreab Gavin Anderson Ltd,April to June 2015
Gemcorp,Kreab Gavin Anderson Ltd,October to December 2016
Hexicon,Kreab Gavin Anderson Ltd,July to September 2017
Hexicon,Kreab Gavin Anderson Ltd,October to December 2017
IG Group,Kreab Gavin Anderson Ltd,April to June 2015
IG Group,Kreab Gavin Anderson Ltd,April to June 2016
IG GROUP,Kreab Gavin Anderson Ltd,January to March 2015
IG Group,Kreab Gavin Anderson Ltd,January to March 2016
IG Group,Kreab Gavin Anderson Ltd,July to September 2015
IG Group,Kreab Gavin Anderson Ltd,October to December 2015
Invesco,Kreab Gavin Anderson Ltd,April to June 2018
Invesco,Kreab Gavin Anderson Ltd,January to March 2017
Invesco,Kreab Gavin Anderson Ltd,January to March 2018
Invesco,Kreab Gavin Anderson Ltd,October to December 2017
Mastercard,Kreab Gavin Anderson Ltd,April to June 2015
Mastercard,Kreab Gavin Anderson Ltd,April to June 2016
Mastercard,Kreab Gavin Anderson Ltd,January to March 2015
Mastercard,Kreab Gavin Anderson Ltd,January to March 2016
Mastercard,Kreab Gavin Anderson Ltd,July to September 2015
Mastercard,Kreab Gavin Anderson Ltd,July to September 2016
Mastercard,Kreab Gavin Anderson Ltd,October to December 2015
Mastercard,Kreab Gavin Anderson Ltd,October to December 2016
Mitsui,Kreab Gavin Anderson Ltd,April to June 2015
Mitsui,Kreab Gavin Anderson Ltd,April to June 2016
Mitsui,Kreab Gavin Anderson Ltd,January to March 2015
Mitsui,Kreab Gavin Anderson Ltd,January to March 2016
Mitsui,Kreab Gavin Anderson Ltd,July to September 2015
Mitsui,Kreab Gavin Anderson Ltd,July to September 2016
Mitsui,Kreab Gavin Anderson Ltd,October to December 2015
Mitsui,Kreab Gavin Anderson Ltd,October to December 2016
NHO (Confederation of Norwegian Enterprise),Kreab Gavin Anderson Ltd,April to June 2017
Scania,Kreab Gavin Anderson Ltd,April to June 2015
Scania,Kreab Gavin Anderson Ltd,January to March 2015
Scania,Kreab Gavin Anderson Ltd,July to September 2015
Scania,Kreab Gavin Anderson Ltd,October to December 2015
Statnett,Kreab Gavin Anderson Ltd,April to June 2015
Statnett,Kreab Gavin Anderson Ltd,January to March 2015
The European Council on Tolerance and Reconciliation,Kreab Gavin Anderson Ltd,April to June 2016
The European Council on Tolerance and Reconciliation,Kreab Gavin Anderson Ltd,January to March 2016
The European Council on Tolerance and Reconciliation,Kreab Gavin Anderson Ltd,July to September 2015
The European Council on Tolerance and Reconciliation,Kreab Gavin Anderson Ltd,July to September 2016
The European Council on Tolerance and Reconciliation,Kreab Gavin Anderson Ltd,October to December 2015
The European Jewish Congress,Kreab Gavin Anderson Ltd,April to June 2016
The European Jewish Congress,Kreab Gavin Anderson Ltd,January to March 2016
The European Jewish Congress,Kreab Gavin Anderson Ltd,July to September 2015
The European Jewish Congress,Kreab Gavin Anderson Ltd,July to September 2016
The European Jewish Congress,Kreab Gavin Anderson Ltd,October to December 2015
The Zayed Sustainability Prize,Kreab Gavin Anderson Ltd,April to June 2018
EEIG (Energy Efficiency Infrastructure Group),KW Communications Limited,April to June 2018
EEIG (Energy Efficiency Infrastructure Group),KW Communications Limited,January to March 2018
EEIG (Energy Efficiency Infrastructure Group),KW Communications Limited,July to September 2018
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,April to June 2015
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,April to June 2016
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,April to June 2017
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,January to March 2016
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,January to March 2017
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,January to March 2018
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,July to September 2015
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,July to September 2016
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,July to September 2017
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,October to December 2015
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,October to December 2016
MIMA (Mineral Wool Insulation Manufacturers Association),KW Communications Limited,October to December 2017
MIMA (Mineral Wool Insulation Manufacturers' Association),KW Communications Limited,April to June 2018
MIMA (Mineral Wool Insulation Manufacturers' Association),KW Communications Limited,July to September 2018
UTV Media (GB) Ltd,KW Communications Limited,October to December 2015
Wireless Group plc,KW Communications Limited,April to June 2016
Wireless Group plc,KW Communications Limited,July to September 2016
Association of Member Nominated Trustees,Lansons Communications LLP,April to June 2018
Association of Member Nominated Trustees,Lansons Communications LLP,July to September 2018
Atom Bank,Lansons Communications LLP,July to September 2015
Growth Street,Lansons Communications LLP,January to March 2016
Hargreaves Lansdown,Lansons Communications LLP,July to September 2018
Harrington Brooks,Lansons Communications LLP,April to June 2015
Harrington Brooks,Lansons Communications LLP,January to March 2015
Harrington Brooks,Lansons Communications LLP,July to September 2015
Harrington Brooks,Lansons Communications LLP,October to December 2015
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,April to June 2015
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,April to June 2016
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,April to June 2017
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,January to March 2015
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,January to March 2016
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,January to March 2017
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,January to March 2018
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,July to September 2015
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,July to September 2016
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,July to September 2017
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,October to December 2015
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,October to December 2016
International Finance Centres Forum (IFC Forum),Lansons Communications LLP,October to December 2017
Isle of Man Government,Lansons Communications LLP,January to March 2015
Isle of Man Government,Lansons Communications LLP,July to September 2017
Isle of Man Government,Lansons Communications LLP,October to December 2017
London Luton Airport Operations Ltd,Lansons Communications LLP,April to June 2015
London Luton Airport Operations Ltd,Lansons Communications LLP,April to June 2016
London Luton Airport Operations Ltd,Lansons Communications LLP,April to June 2018
London Luton Airport Operations Ltd,Lansons Communications LLP,January to March 2015
London Luton Airport Operations Ltd,Lansons Communications LLP,January to March 2016
London Luton Airport Operations Ltd,Lansons Communications LLP,January to March 2017
London Luton Airport Operations Ltd,Lansons Communications LLP,January to March 2018
London Luton Airport Operations Ltd,Lansons Communications LLP,July to September 2015
London Luton Airport Operations Ltd,Lansons Communications LLP,July to September 2016
London Luton Airport Operations Ltd,Lansons Communications LLP,July to September 2017
London Luton Airport Operations Ltd,Lansons Communications LLP,July to September 2018
London Luton Airport Operations Ltd,Lansons Communications LLP,October to December 2015
London Luton Airport Operations Ltd,Lansons Communications LLP,October to December 2016
London Luton Airport Operations Ltd,Lansons Communications LLP,October to December 2017
Metro Bank,Lansons Communications LLP,April to June 2018
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,April to June 2016
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,April to June 2018
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,January to March 2015
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,January to March 2016
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,January to March 2017
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,January to March 2018
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,July to September 2015
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,July to September 2016
