Payee,APPG,Benefit,Value,Date paid,Date registered
National Federation of Roofing Contractors Limited,All-Party Parliamentary Group for the Roofing Industry,"Secretariat.
            •À_•À_
            From : 12/09/2017
            To  : 11/09/2018","4,501-6,000",12/09/17,15/09/17
Dell Corporation Limited,Women and Enterprise All-Party Parliamentary Group,"Secretariat services are provided by Hume Brophy Communications on behalf of Dell Corporation Limited
            •À_•À_
            From : 18/07/2018
            To  : 17/07/2019","34,501-36,000",18/07/18,08/11/18
Mineral Products Association,All-Party Parliamentary Group for Mining and Quarrying,"Secretariat
            •À_•À_
            From : 31/10/2018
            To  : 30/10/2019","3,001-4,500",31/10/18,11/12/18
England's Economic Heartland,All-Party Parliamentary Group for Oxford-Milton Keynes-Cambridge Corridor,"Secretariat
            •À_•À_
            From : 31/01/2018
            To  : 30/01/2019","9,001-10,500",31/01/18,26/02/18
Urban Transport Group,All-Party Parliamentary City Regions Transport Group,"Secretariat
            •À_•À_
            From : 31/01/2018
            To  : 30/01/2019","1,501-3,000",31/01/18,05/02/18
Royal Public Affairs,All-Party Parliamentary Group on Energy Costs,"Secretariat
            •À_•À_
            From : 29/06/2018
            To  : 28/06/2019","16,501-18,000",29/06/18,10/08/18
Royal Public Affairs,All-Party Parliamentary Group on a Fit and Healthy Childhood,"Secretariat
            •À_•À_
            From : 29/06/2018
            To  : 28/06/2019","16,501-18,000",29/06/18,10/08/18
Bond,All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,"Secretariat
            •À_•À_
            From : 28/06/2018
            To  : 27/06/2019","1,501-3,000",28/06/18,16/10/18
Crisis,All-Party Parliamentary Group on Ending Homelessness,"Secretariat
            •À_•À_
            From : 28/06/2018
            To  : 27/06/2019","1,501-3,000",28/06/18,22/10/18
Interel,All-Party Parliamentary Group on Fixed Odds Betting Terminals,"Secretariat
            •À_•À_
            From : 28/06/2018
            To  : 27/06/2019","12,001-13,500",28/06/18,04/07/18
London Councils,All-Party Parliamentary Group for London,"Secretariat
            •À_•À_
            From : 28/06/2018
            To  : 27/06/2019","4,501-6,000",28/06/18,18/07/18
