name,purpose,mmname,position,party
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Mrs Pauline Latham,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Baroness D'Souza,Deputy Chair,Crossbench
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Stephen Doughty,Secretary,Labour (Co-op)
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",The Earl of Sandwich,Treasurer,Crossbench
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Baroness Hodgson of Abinger,Vice Chair,Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Chi Onwurah,Chair & Registered Contact,Labour
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Chidgey,Co-Chair (Lords),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Mrs Pauline Latham,Vice Chair (East Africa),Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Jeremy Lefroy,Vice Chair (East Africa),Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord McConnell of Glenscorrodale,Vice Chair (Central and West Africa),Labour
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Purvis of Tweed,Vie Chair (North Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Oates,Vice Chair (Southern Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Baroness Northover,Vice Chair (Southern Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Patrick Grady,Secretary,Scottish National Party
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Baroness Uddin,Treasurer,Non-affiliated
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",John Mann,Chair & Registered Contact,Labour
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Lord McConnell of Glenscorrodale,Vice Chair,Labour
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Mrs Pauline Latham,Vice Chair,Conservative
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Lord Chidgey,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Mr Ivan Lewis,Vice Chair,Independent
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,John Grogan,Chair & Registered Contact,Labour
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Martin Vickers,Vice-Chair,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Lord Bowness,Vice Chair,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Mr John Whittingdale,Secretary,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Andrew Bowie,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Mr Roger Godsiff,Vice Chair,Labour
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Lord Risby,Vice Chair,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Viscount Waverley,Vice Chair,Crossbench
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Lord McInnes of Kilwinning,Vice Chair,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Baroness Northover,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Chi Onwurah,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Mr Laurence Robertson,Vice-Chair,Conservative
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Baroness Northover,Co-Chair,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Lord Hughes of Woodside,Co-Chair,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Baroness Hooper,Co-Chair,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mike Gapes,Chair & Registered Contact,Labour (Co-op)
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Baroness Hooper,Co-Chair,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mr Tanmanjeet Singh Dhesi,Vice Chair,Labour
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mr Philip Dunne,Vice Chair,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Mark Menzies,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Christian Matheson,Vice Chair,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Angus Brendan MacNeil,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Faulkner of Worcester,Vice Chair,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Kilclooney,Vice Chair,Crossbench
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Addington,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Paul Farrelly,Treasurer,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Stephen Pound,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",David Morris,Secretary,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Angus Brendan MacNeil,Treasurer,Scottish National Party
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Mr John Whittingdale,Vice Chair,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Baroness Cox,Vice Chair,Crossbench
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",John Mann,Vice Chair,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Ruth Cadbury,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Andrew Rosindell,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",John Spellar,Co-Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Sir Paul Beresford,Vice Chair,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Mr Roger Godsiff,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Nigel Dodds,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Lord Balfe,Vice Chair,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Viscount Simon,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Baroness Golding,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Deidre Brock,Vice Chair,Scottish National Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Michelle Donelan,Vice Chair,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Catherine West,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Lord Purvis of Tweed,Vice Chair,Liberal Democrat
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Lord Chidgey,Vice Chair,Liberal Democrat
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Lord Faulkner of Worcester,Treasurer,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Martin Vickers,Secretary,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Sir Peter Bottomley,Chair & Registered Contact,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Lord Davies of Stamford,Co-Chair,Labour
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Stephen Gethins,Vice Chair,Scottish National Party
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Lord Oxburgh,Vice Chair,Crossbench
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Baroness Rawlings,Vice Chair,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Lord Dubs,Vice Chair,Labour
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Julia Lopez,Vice Chair,Conservative
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Lord Anderson of Swansea,Vice Chair,Labour
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Bob Blackman,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Lord Kilclooney,Vice Chair,Crossbench
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,David Duguid,Vice Chair,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Martin Vickers,Vice Chair,Conservative
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Mr Roger Godsiff,Secretary,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Conor Burns,Chair & Registered Contact,Conservative
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Sir Jeffrey M. Donaldson,Vice Chair,Democratic Unionist Party
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Lord Jordan,Vice Chair,Labour
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Bob Stewart,Vice Chair,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Mrs Anne Main,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Jim Fitzpatrick,Vice Chair,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Theresa Villiers,Vice Chair,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Lord Sheikh,Vice Chair,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Rushanara Ali,Vice Chair,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Will Quince,Vice Chair,Conservative
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Viscount Waverley,Vice Chair,Crossbench
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Jonathan Reynolds,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Nic Dakin,Vice Chair,Labour
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Jim Shannon,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Paul Scully,Vice Chair,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Mr John Whittingdale,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Lord Bowness,Vice-Chairman,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Viscount Waverley,Vice-Chairman,Crossbench
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Wayne David,Treasurer,Labour
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Lord German,Secretary,Liberal Democrat
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Mrs Maria Miller,Officer,Conservative
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Stephen Pound,Officer,Labour
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Dan Carden,Officer,Labour
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Paul Farrelly,Officer,Labour
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Damien Moore,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Mike Hill,Vice Chair,Labour
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Andrew Bowie,Secretary,Conservative
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Stephen Kerr,Treasurer,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Bob Stewart,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Lord Foulkes of Cumnock,President,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Wayne David,Vice Chair,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Adam Holloway,Vice Chair,Conservative
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Lord Rogan,Vice Chair,Ulster Unionist Party
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Lord Kilclooney,Vice Chair,Crossbench
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Lord Watts,Vice Chair,Labour
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Faisal Rashid,Vice Chair,Labour
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Sir David Amess,Chair & Registered Contact,Conservative
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Andrew Rosindell,Vice-Chair,Conservative
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Lord Balfe,Vice-Chair,Conservative
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Lord Tope,Vice-Chair,Liberal Democrat
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Baroness Hooper,Vice-Chair,Conservative
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Sir David Crausby,Vice-Chair,Labour
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Bob Stewart,Vice-Chair,Conservative
Britain-Bermuda All-Party Parliamentary Group,To improve links and mutual understanding between Britain and Bermuda.,Viscount Waverley,Officer,Crossbench
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Mr Roger Godsiff,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Andrew Rosindell,Vice-Chair,Conservative
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Lord Jones of Cheltenham,Vice-Chair,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Lord Chidgey,Vice-Chair,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,John Spellar,Vice-Chair,Labour
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Lord Steel of Aikwood,Vice-Chair,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Baroness Barker,Vice-Chair,Liberal Democrat
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Chris Stephens,Vice-Chair,Scottish National Party
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,James Duddridge,Vice-Chair,Conservative
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,John Mann,Vice-Chair,Labour
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Mr Mark Prisk,Chair & Registered Contact,Conservative
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Lord Watts,Co-Chair,Labour
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,John Spellar,Vice Chair,Labour
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Christian Matheson,Vice Chair,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Rushanara Ali,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Paul Scully,Co-Chair,Conservative
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Lord Alton of Liverpool,Vice-Chair,Crossbench
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Baroness Goudie,Vice-Chair,Labour
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Baroness Northover,Vice-Chair,Liberal Democrat
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Ann Clwyd,Chair & Registered Contact,Labour
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Lord Jopling,Officer,Conservative
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Lord Kilclooney,Officer,Crossbench
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Nic Dakin,Officer,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Andrew Rosindell,Chair & Registered Contact,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,John Howell,Vice Chair,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Lord Purvis of Tweed,Vice Chair,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Mr Roger Godsiff,Vice Chair,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Lord Balfe,Vice Chair,Conservative
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Lord Foulkes of Cumnock,Vice Chair,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Baroness Northover,Vice Chair,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,John Spellar,Vice Chair,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Chris Law,Vice Chair,Scottish National Party
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Nigel Dodds,Vice Chair,Democratic Unionist Party
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Lord Chidgey,Vice Chair,Liberal Democrat
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Lord Faulkner of Worcester,Treasurer,Labour
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Helen Jones,Secretary,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Andrew Rosindell,Chair & Registered Contact,Conservative
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Diana Johnson,Co-Chair,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Lord Foulkes of Cumnock,President,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Sir Henry Bellingham,Deputy Chairman,Conservative
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Mr David Lammy,Deputy Chairman,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,David Morris,Vice Chair,Conservative
